Recognition Log: Jotsna Gowda & Diksha Verma,$1 Algorithm
User[all-users],GestureType[all-gestures-types],RandomIteration[1to100],#ofTrainingExamples[E],TrainingSetSize[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],Correct/Incorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted
s02,caret,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-caret-6,s02-caret-3,1,0.9509602465544689,s02-caret-3,s02-right_curly_brace-0-0.9509602465544689-----s02-check-6-0.9509602465544689-----s02-circle-2-0.9509602465544689-----s02-x-2-0.9509602465544689-----s02-left_sq_bracket-7-0.9509602465544689-----s02-rectangle-0-0.7377159324255389-----s02-question_mark-7-0.7377159324255389-----s02-delete_mark-5-0.7377159324255389-----s02-caret-3-0.7377159324255389-----s02-right_sq_bracket-1-0.656593831816136-----s02-left_curly_brace-1-0.6413956292462308-----s02-triangle-4-0.6413956292462308-----s02-pigtail-6-0.6413956292462308-----s02-star-9-0.3484992603220718-----s02-arrow-5-0.3484992603220718-----s02-v-9--inf-----
s02,right_curly_brace,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-right_curly_brace-4,s02-right_curly_brace-0,1,0.9089095195794862,s02-right_curly_brace-0,s02-check-6-0.9089095195794862-----s02-circle-2-0.9089095195794862-----s02-x-2-0.9089095195794862-----s02-left_sq_bracket-7-0.9089095195794862-----s02-rectangle-0-0.8044314715834827-----s02-question_mark-7-0.8044314715834827-----s02-delete_mark-5-0.8044314715834827-----s02-caret-3-0.8044314715834827-----s02-right_curly_brace-0-0.8044314715834827-----s02-left_curly_brace-1-0.5955955619060578-----s02-triangle-4-0.5955955619060578-----s02-pigtail-6-0.5955955619060578-----s02-right_sq_bracket-1-0.5955955619060578-----s02-arrow-5-0.36343327043918217-----s02-star-9-0.3132657214842365-----s02-v-9--inf-----
s02,check,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-check-9,s02-check-6,1,0.857613119246696,s02-check-6,s02-circle-2-0.857613119246696-----s02-x-2-0.857613119246696-----s02-left_sq_bracket-7-0.857613119246696-----s02-triangle-4-0.7794593014635277-----s02-pigtail-6-0.7794593014635277-----s02-right_sq_bracket-1-0.7794593014635277-----s02-rectangle-0-0.7794593014635277-----s02-question_mark-7-0.7794593014635277-----s02-delete_mark-5-0.7794593014635277-----s02-caret-3-0.7794593014635277-----s02-right_curly_brace-0-0.7794593014635277-----s02-check-6-0.7794593014635277-----s02-star-9-0.5591032786116483-----s02-arrow-5-0.5591032786116483-----s02-left_curly_brace-1-0.5591032786116483-----s02-v-9--inf-----
s02,circle,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-circle-0,s02-circle-2,1,0.9341143741731575,s02-circle-2,s02-x-2-0.9341143741731575-----s02-left_sq_bracket-7-0.9341143741731575-----s02-pigtail-6-0.8234515024182345-----s02-right_sq_bracket-1-0.8234515024182345-----s02-rectangle-0-0.8234515024182345-----s02-question_mark-7-0.8234515024182345-----s02-delete_mark-5-0.8234515024182345-----s02-caret-3-0.8234515024182345-----s02-right_curly_brace-0-0.8234515024182345-----s02-check-6-0.8234515024182345-----s02-circle-2-0.8234515024182345-----s02-left_curly_brace-1-0.44660911149760363-----s02-triangle-4-0.44660911149760363-----s02-star-9-0.43915769846138586-----s02-arrow-5-0.43915769846138586-----s02-v-9--inf-----
s02,x,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-x-4,s02-x-2,1,0.9522059396484456,s02-x-2,s02-left_sq_bracket-7-0.9522059396484456-----s02-right_sq_bracket-1-0.648962509064557-----s02-rectangle-0-0.648962509064557-----s02-question_mark-7-0.648962509064557-----s02-delete_mark-5-0.648962509064557-----s02-caret-3-0.648962509064557-----s02-right_curly_brace-0-0.648962509064557-----s02-check-6-0.648962509064557-----s02-circle-2-0.648962509064557-----s02-x-2-0.648962509064557-----s02-pigtail-6-0.5559102563871594-----s02-left_curly_brace-1-0.5500435422523267-----s02-triangle-4-0.5500435422523267-----s02-arrow-5-0.4842428044397198-----s02-star-9-0.3647015152996439-----s02-v-9--inf-----
s02,left_sq_bracket,1,1,16,s02-v-9s02-star-9s02-arrow-5s02-left_curly_brace-1s02-triangle-4s02-pigtail-6s02-right_sq_bracket-1s02-rectangle-0s02-question_mark-7s02-delete_mark-5s02-caret-3s02-right_curly_brace-0s02-check-6s02-circle-2s02-x-2s02-left_sq_bracket-7,s02-left_sq_bracket-6,s02-left_sq_bracket-7,1,0.9598449408259636,s02-left_sq_bracket-7,s02-circle-2-0.774307466320608-----s02-x-2-0.774307466320608-----s02-left_sq_bracket-7-0.774307466320608-----s02-triangle-4-0.7708041129511208-----s02-pigtail-6-0.7708041129511208-----s02-right_sq_bracket-1-0.7708041129511208-----s02-rectangle-0-0.7708041129511208-----s02-question_mark-7-0.7708041129511208-----s02-delete_mark-5-0.7708041129511208-----s02-caret-3-0.7708041129511208-----s02-right_curly_brace-0-0.7708041129511208-----s02-check-6-0.7708041129511208-----s02-star-9-0.6641657221457401-----s02-arrow-5-0.6641657221457401-----s02-left_curly_brace-1-0.6641657221457401-----s02-v-9--inf-----
s02,v,1,2,32,s02-v-6s02-v-0s02-star-0s02-star-8s02-arrow-3s02-arrow-6s02-left_curly_brace-7s02-left_curly_brace-2s02-triangle-3s02-triangle-1s02-pigtail-5s02-pigtail-2s02-right_sq_bracket-9s02-right_sq_bracket-4s02-rectangle-6s02-rectangle-2s02-question_mark-2s02-question_mark-5s02-delete_mark-0s02-delete_mark-9s02-caret-8s02-caret-6s02-right_curly_brace-5s02-right_curly_brace-9s02-check-1s02-check-3s02-circle-9s02-circle-0s02-x-5s02-x-3s02-left_sq_bracket-7s02-left_sq_bracket-0,s02-v-3,s02-v-0,1,0.9583635402188351,s02-v-0,s02-star-0-0.9583635402188351-----s02-star-8-0.9583635402188351-----s02-arrow-3-0.9583635402188351-----s02-arrow-6-0.9583635402188351-----s02-left_curly_brace-7-0.9583635402188351-----s02-left_curly_brace-2-0.9583635402188351-----s02-triangle-3-0.9583635402188351-----s02-triangle-1-0.9583635402188351-----s02-pigtail-5-0.9583635402188351-----s02-pigtail-2-0.9583635402188351-----s02-right_sq_bracket-9-0.9583635402188351-----s02-right_sq_bracket-4-0.9583635402188351-----s02-rectangle-6-0.9583635402188351-----s02-rectangle-2-0.9583635402188351-----s02-question_mark-2-0.9583635402188351-----s02-question_mark-5-0.9583635402188351-----s02-delete_mark-0-0.9583635402188351-----s02-delete_mark-9-0.9583635402188351-----s02-caret-8-0.9583635402188351-----s02-caret-6-0.9583635402188351-----s02-right_curly_brace-5-0.9583635402188351-----s02-right_curly_brace-9-0.9583635402188351-----s02-check-1-0.9583635402188351-----s02-check-3-0.9583635402188351-----s02-circle-9-0.9583635402188351-----s02-circle-0-0.9583635402188351-----s02-x-5-0.9583635402188351-----s02-x-3-0.9583635402188351-----s02-left_sq_bracket-7-0.9583635402188351-----s02-left_sq_bracket-0-0.9583635402188351-----s02-v-0-0.8625190783561096-----s02-v-6--inf-----
s02,star,1,2,32,s02-v-6s02-v-0s02-star-0s02-star-8s02-arrow-3s02-arrow-6s02-left_curly_brace-7s02-left_curly_brace-2s02-triangle-3s02-triangle-1s02-pigtail-5s02-pigtail-2s02-right_sq_bracket-9s02-right_sq_bracket-4s02-rectangle-6s02-rectangle-2s02-question_mark-2s02-question_mark-5s02-delete_mark-0s02-delete_mark-9s02-caret-8s02-caret-6s02-right_curly_brace-5s02-right_curly_brace-9s02-check-1s02-check-3s02-circle-9s02-circle-0s02-x-5s02-x-3s02-left_sq_bracket-7s02-left_sq_bracket-0,s02-star-7,s02-star-8,1,0.9179661939272306,s02-star-8,s02-arrow-3-0.9179661939272306-----s02-arrow-6-0.9179661939272306-----s02-left_curly_brace-7-0.9179661939272306-----s02-left_curly_brace-2-0.9179661939272306-----s02-triangle-3-0.9179661939272306-----s02-triangle-1-0.9179661939272306-----s02-pigtail-5-0.9179661939272306-----s02-pigtail-2-0.9179661939272306-----s02-right_sq_bracket-9-0.9179661939272306-----s02-right_sq_bracket-4-0.9179661939272306-----s02-rectangle-6-0.9179661939272306-----s02-rectangle-2-0.9179661939272306-----s02-question_mark-2-0.9179661939272306-----s02-question_mark-5-0.9179661939272306-----s02-delete_mark-0-0.9179661939272306-----s02-delete_mark-9-0.9179661939272306-----s02-caret-8-0.9179661939272306-----s02-caret-6-0.9179661939272306-----s02-right_curly_brace-5-0.9179661939272306-----s02-right_curly_brace-9-0.9179661939272306-----s02-check-1-0.9179661939272306-----s02-check-3-0.9179661939272306-----s02-circle-9-0.9179661939272306-----s02-circle-0-0.9179661939272306-----s02-x-5-0.9179661939272306-----s02-x-3-0.9179661939272306-----s02-left_sq_bracket-7-0.9179661939272306-----s02-left_sq_bracket-0-0.9179661939272306-----s02-star-8-0.8619924919879649-----s02-star-0-0.36465337833570033-----s02-v-0-0.34420138920601795-----s02-v-6--inf-----
s02,arrow,1,2,32,s02-v-6s02-v-0s02-star-0s02-star-8s02-arrow-3s02-arrow-6s02-left_curly_brace-7s02-left_curly_brace-2s02-triangle-3s02-triangle-1s02-pigtail-5s02-pigtail-2s02-right_sq_bracket-9s02-right_sq_bracket-4s02-rectangle-6s02-rectangle-2s02-question_mark-2s02-question_mark-5s02-delete_mark-0s02-delete_mark-9s02-caret-8s02-caret-6s02-right_curly_brace-5s02-right_curly_brace-9s02-check-1s02-check-3s02-circle-9s02-circle-0s02-x-5s02-x-3s02-left_sq_bracket-7s02-left_sq_bracket-0,s02-arrow-5,s02-arrow-3,1,0.9345344929682047,s02-arrow-3,s02-arrow-6-0.9345344929682047-----s02-left_curly_brace-7-0.9345344929682047-----s02-left_curly_brace-2-0.9345344929682047-----s02-triangle-3-0.9345344929682047-----s02-triangle-1-0.9345344929682047-----s02-pigtail-5-0.9345344929682047-----s02-pigtail-2-0.9345344929682047-----s02-right_sq_bracket-9-0.9345344929682047-----s02-right_sq_bracket-4-0.9345344929682047-----s02-rectangle-6-0.9345344929682047-----s02-rectangle-2-0.9345344929682047-----s02-question_mark-2-0.9345344929682047-----s02-question_mark-5-0.9345344929682047-----s02-delete_mark-0-0.9345344929682047-----s02-delete_mark-9-0.9345344929682047-----s02-caret-8-0.9345344929682047-----s02-caret-6-0.9345344929682047-----s02-right_curly_brace-5-0.9345344929682047-----s02-right_curly_brace-9-0.9345344929682047-----s02-check-1-0.9345344929682047-----s02-check-3-0.9345344929682047-----s02-circle-9-0.9345344929682047-----s02-circle-0-0.9345344929682047-----s02-x-5-0.9345344929682047-----s02-x-3-0.9345344929682047-----s02-left_sq_bracket-7-0.9345344929682047-----s02-left_sq_bracket-0-0.9345344929682047-----s02-star-0-0.5755923986703433-----s02-star-8-0.5755923986703433-----s02-arrow-3-0.5755923986703433-----s02-v-0-0.5402588429458817-----s02-v-6--inf-----
s02,left_curly_brace,1,2,32,s02-v-6s02-v-0s02-star-0s02-star-8s02-arrow-3s02-arrow-6s02-left_curly_brace-7s02-left_curly_brace-2s02-triangle-3s02-triangle-1s02-pigtail-5s02-pigtail-2s02-right_sq_bracket-9s02-right_sq_bracket-4s02-rectangle-6s02-rectangle-2s02-question_mark-2s02-question_mark-5s02-delete_mark-0s02-delete_mark-9s02-caret-8s02-caret-6s02-right_curly_brace-5s02-right_curly_brace-9s02-check-1s02-check-3s02-circle-9s02-circle-0s02-x-5s02-x-3s02-left_sq_bracket-7s02-left_sq_bracket-0,s02-left_curly_brace-5,s02-left_curly_brace-7,1,0.9141283273442955,s02-left_curly_brace-7,s02-left_curly_brace-2-0.9141283273442955-----s02-triangle-3-0.9141283273442955-----s02-triangle-1-0.9141283273442955-----s02-pigtail-5-0.9141283273442955-----s02-pigtail-2-0.9141283273442955-----s02-right_sq_bracket-9-0.9141283273442955-----s02-right_sq_bracket-4-0.9141283273442955-----s02-rectangle-6-0.9141283273442955-----s02-rectangle-2-0.9141283273442955-----s02-question_mark-2-0.9141283273442955-----s02-question_mark-5-0.9141283273442955-----s02-delete_mark-0-0.9141283273442955-----s02-delete_mark-9-0.9141283273442955-----s02-caret-8-0.9141283273442955-----s02-caret-6-0.9141283273442955-----s02-right_curly_brace-5-0.9141283273442955-----s02-right_curly_brace-9-0.9141283273442955-----s02-check-1-0.9141283273442955-----s02-check-3-0.9141283273442955-----s02-circle-9-0.9141283273442955-----s02-circle-0-0.9141283273442955-----s02-x-5-0.9141283273442955-----s02-x-3-0.9141283273442955-----s02-left_sq_bracket-7-0.9141283273442955-----s02-left_sq_bracket-0-0.9141283273442955-----s02-star-0-0.6790800809300814-----s02-star-8-0.6790800809300814-----s02-arrow-3-0.6790800809300814-----s02-arrow-6-0.6790800809300814-----s02-left_curly_brace-7-0.6790800809300814-----s02-v-0-0.6252027063293193-----s02-v-6--inf-----
s02,triangle,1,2,32,s02-v-6s02-v-0s02-star-0s02-star-8s02-arrow-3s02-arrow-6s02-left_curly_brace-7s02-left_curly_brace-2s02-triangle-3s02-triangle-1s02-pigtail-5s02-pigtail-2s02-right_sq_bracket-9s02-right_sq_bracket-4s02-rectangle-6s02-rectangle-2s02-question_mark-2s02-question_mark-5s02-delete_mark-0s02-delete_mark-9s02-caret-8s02-caret-6s02-right_curly_brace-5s02-right_curly_brace-9s02-check-1s02-check-3s02-circle-9s02-circle-0s02-x-5s02-x-3s02-left_sq_bracket-7s02-left_sq_bracket-0,s02-triangle-4,s02-triangle-3,1,0.9146486239138654,s02-triangle-3,s02-triangle-1-0.9146486239138654-----s02-pigtail-5-0.9146486239138654-----s02-pigtail-2-0.9146486239138654-----s02-right_sq_bracket-9-0.9146486239138654-----s02-right_sq_bracket-4-0.9146486239138654-----s02-rectangle-6-0.9146486239138654-----s02-rectangle-2-0.9146486239138654-----s02-question_mark-2-0.9146486239138654-----s02-question_mark-5-0.9146486239138654-----s02-delete_mark-0-0.9146486239138654-----s02-delete_mark-9-0.9146486239138654-----s02-caret-8-0.9146486239138654-----s02-caret-6-0.9146486239138654-----s02-right_curly_brace-5-0.9146486239138654-----s02-right_curly_brace-9-0.9146486239138654-----s02-check-1-0.9146486239138654-----s02-check-3-0.9146486239138654-----s02-circle-9-0.9146486239138654-----s02-circle-0-0.9146486239138654-----s02-x-5-0.9146486239138654-----s02-x-3-0.9146486239138654-----s02-left_sq_bracket-7-0.9146486239138654-----s02-left_sq_bracket-0-0.9146486239138654-----s02-v-0-0.5510336608733452-----s02-star-0-0.5510336608733452-----s02-star-8-0.5510336608733452-----s02-arrow-3-0.5510336608733452-----s02-arrow-6-0.5510336608733452-----s02-left_curly_brace-7-0.5510336608733452-----s02-left_curly_brace-2-0.5510336608733452-----s02-triangle-3-0.5510336608733452-----s02-v-6--inf-----
